Lap,Race Time,Distance
1,0:19:53,2.550
2,0:39:45,5.090
3,0:59:48,7.640
4,1:19:22,10.190
5,1:38:45,12.730
6,1:58:19,15.280
7,2:17:45,17.830
8,2:37:17,20.380
9,2:57:12,22.920
10,3:17:10,25.470
11,3:37:05,28.020
12,3:57:03,30.560
13,4:18:24,33.110
14,4:49:50,35.660
15,5:11:11,38.200
16,5:32:53,40.750
17,5:54:41,43.300
18,6:17:01,45.840
19,6:39:15,48.390
20,7:01:48,50.940
21,7:23:58,53.490
22,7:46:02,56.030
23,8:08:02,58.580
24,8:43:40,61.130
25,9:06:53,63.670
26,9:29:26,66.220
27,9:52:31,68.770
28,10:15:33,71.310
29,10:38:52,73.860
30,11:02:08,76.410
31,11:25:29,78.950
32,11:48:45,81.500
33,12:12:17,84.050
34,14:24:55,86.600
35,14:50:12,89.140
36,15:14:08,91.690
37,15:38:36,94.240
38,16:02:39,96.780
39,16:28:59,99.330
40,17:17:52,101.880
41,17:41:39,104.420
42,18:41:15,106.970
43,19:22:06,109.520
44,20:33:41,112.060
45,20:57:55,114.610
46,21:21:16,117.160
47,21:45:17,119.710
48,22:08:47,122.250
49,22:32:57,124.800
50,22:57:19,127.350
51,23:21:16,129.890
52,23:46:55,132.440
53,24:10:47,134.990
54,25:05:59,137.530
55,25:56:35,142.630
56,27:01:54,147.720
57,27:27:55,150.270
58,27:55:41,152.820
59,28:20:48,155.360
60,29:02:00,157.910
61,29:30:02,160.460
62,29:56:31,163.000
63,30:22:49,165.550
64,30:49:22,168.100
65,31:17:17,170.640
66,31:43:13,173.190
67,32:09:13,175.740
68,32:44:17,178.290
69,33:09:18,180.830
70,33:34:38,183.380
71,34:00:07,185.930
72,34:27:38,188.470
73,34:53:36,191.020
74,35:20:01,193.570
75,35:47:16,196.110
76,36:14:29,198.660
77,36:59:07,201.210
78,37:25:35,203.750
79,37:50:32,206.300
80,38:16:06,208.850
81,38:42:10,211.400
82,39:09:27,213.940
83,39:35:52,216.490
84,40:01:51,219.040
85,40:32:26,221.580
86,40:58:44,224.130
87,41:25:29,226.680
88,41:54:22,229.220
89,42:21:35,231.770
90,45:23:58,234.320
91,45:59:12,236.860
92,46:32:45,239.410
93,46:58:54,241.960
94,47:25:18,244.510
95,47:53:12,247.050
96,48:20:01,249.600
97,49:25:15,252.150
98,50:10:17,254.690
99,50:36:46,257.240
100,51:04:14,259.790
101,51:32:21,262.330
102,52:00:25,264.880
103,52:27:32,267.430
104,53:12:26,269.970
105,53:43:50,272.520
106,54:41:53,275.070
107,55:10:40,277.620
108,55:45:07,280.160
109,56:14:49,282.710
110,56:58:08,285.260
111,57:28:54,287.800
112,57:59:50,290.350
113,58:33:36,292.900
114,59:02:57,295.440
115,59:31:50,297.990
116,60:00:39,300.540
117,61:04:53,303.080
118,61:47:37,305.630
119,62:20:53,308.180
120,62:50:45,310.730
121,63:34:31,313.270
122,64:03:09,315.820
123,64:32:12,318.370
124,67:34:54,320.910
125,68:03:35,323.460
126,68:33:26,326.010
127,69:03:17,328.550
128,69:32:47,331.100
129,70:41:16,336.190
130,71:19:18,338.740
131,71:51:00,341.290
132,72:20:28,343.840
133,73:25:50,346.380
134,74:09:40,348.930
135,74:41:27,351.480
136,75:13:05,354.020
137,75:45:11,356.570
138,76:17:25,359.120
139,77:11:46,361.660
140,77:44:46,364.210
141,77:44:46,364.210
142,79:58:26,366.760
143,80:28:49,369.300
144,81:10:55,371.850
145,81:42:22,374.400
146,82:15:40,376.950
147,82:47:03,379.490
148,83:22:21,382.040
149,83:54:29,384.590
150,83:54:29,384.590
151,84:55:19,387.130
152,85:36:21,389.680
153,87:01:22,392.230
154,87:30:36,394.770
155,88:01:40,397.320
156,88:32:00,399.870
157,89:02:42,402.410
158,90:25:10,404.960
159,90:54:46,407.510
160,91:25:41,410.060
161,92:16:40,412.600
162,92:56:49,415.150
163,93:26:36,417.700
164,93:55:42,420.240
165,94:27:10,422.790
166,94:57:15,425.340
167,95:37:48,427.880
168,96:06:55,430.430
169,98:11:02,432.980
170,98:40:42,435.520
171,99:12:09,438.070
172,99:43:22,440.620
173,100:16:23,443.170
174,100:59:35,445.710
175,101:32:50,448.260
176,102:05:04,450.810
177,102:38:07,453.350
178,103:11:09,455.900
179,103:45:00,458.450
180,107:18:19,460.990
181,107:52:52,463.540
182,110:12:51,466.090
183,110:48:47,468.630
184,111:22:26,471.180
185,111:59:41,473.730
186,112:36:29,476.280
187,113:13:14,478.820
188,113:55:04,481.370
189,114:33:01,483.920
190,115:10:41,486.460
191,115:46:52,489.010
192,116:29:17,491.560
193,117:00:43,494.100
194,117:32:56,496.650
195,118:10:17,499.200
196,119:07:21,501.740
197,124:24:48,504.290
198,125:01:38,506.840
199,125:35:19,509.390
200,126:43:59,511.930
201,127:31:39,514.480
202,128:21:46,517.030
203,128:52:54,519.570
204,129:27:28,522.120
205,130:02:03,524.670
206,130:43:23,527.210
207,131:15:19,529.760
208,131:48:08,532.310
209,132:59:10,534.860
210,134:38:20,537.400
211,135:08:58,539.950
212,135:38:21,542.500
213,136:19:57,545.040
214,136:52:26,547.590
215,137:30:57,550.140
216,141:06:40,552.680
217,141:39:15,555.230
218,142:14:10,557.780
219,143:25:47,560.320
220,144:00:00,560.320
