Lap,Race Time,Distance
1,0:05:19,0.559265142
2,0:10:38,1.118530283
3,0:15:49,1.677795425
4,0:21:06,2.237060566
5,0:26:26,2.796325708
6,0:31:51,3.355590849
7,0:37:14,3.914855991
8,0:42:38,4.474121133
9,0:48:05,5.033386274
10,0:53:42,5.592651416
11,0:58:58,6.151916557
12,1:04:15,6.711181699
13,1:09:27,7.27044684
14,1:14:49,7.829711982
15,1:20:14,8.388977124
16,1:25:48,8.948242265
17,1:31:05,9.507507407
18,1:36:16,10.06677255
19,1:41:27,10.62603769
20,1:46:45,11.18530283
21,1:52:01,11.74456797
22,1:57:19,12.30383311
23,2:02:37,12.86309826
24,2:07:56,13.4223634
25,2:13:10,13.98162854
26,2:18:34,14.54089368
27,2:23:49,15.10015882
28,2:29:06,15.65942396
29,2:34:14,16.21868911
30,2:39:17,16.77795425
31,2:44:32,17.33721939
32,2:49:47,17.89648453
33,2:55:09,18.45574967
34,3:00:32,19.01501481
35,3:05:56,19.57427996
36,3:11:11,20.1335451
37,3:16:13,20.69281024
38,3:21:18,21.25207538
39,3:26:32,21.81134052
40,3:31:35,22.37060566
41,3:36:42,22.9298708
42,3:42:02,23.48913595
43,3:47:22,24.04840109
44,3:52:34,24.60766623
45,3:57:42,25.16693137
46,4:02:48,25.72619651
47,4:08:08,26.28546165
48,4:13:15,26.8447268
49,4:18:28,27.40399194
50,4:23:41,27.96325708
51,4:28:55,28.52252222
52,4:34:10,29.08178736
53,4:39:17,29.6410525
54,4:44:29,30.20031764
55,4:49:51,30.75958279
56,4:55:05,31.31884793
57,5:00:09,31.87811307
58,5:05:08,32.43737821
59,5:11:57,32.99664335
60,5:15:54,33.55590849
61,5:21:07,34.11517364
62,5:26:13,34.67443878
63,5:31:10,35.23370392
64,5:36:10,35.79296906
65,5:41:41,36.3522342
66,5:47:16,36.91149934
67,5:52:19,37.47076449
68,5:57:24,38.03002963
69,6:02:22,38.58929477
70,6:07:14,39.14855991
71,6:12:50,39.70782505
72,6:17:41,40.26709019
73,6:22:36,40.82635533
74,6:27:35,41.38562048
75,6:32:40,41.94488562
76,6:37:30,42.50415076
77,6:42:24,43.0634159
78,6:47:28,43.62268104
79,6:52:57,44.18194618
80,6:57:44,44.74121133
81,7:02:43,45.30047647
82,7:07:28,45.85974161
83,7:12:20,46.41900675
84,7:17:16,46.97827189
85,7:22:08,47.53753703
86,7:27:13,48.09680218
87,7:32:51,48.65606732
88,7:37:45,49.21533246
89,7:42:51,49.7745976
90,7:48:11,50.33386274
91,7:53:23,50.89312788
92,7:58:36,51.45239302
93,8:03:56,52.01165817
94,8:09:14,52.57092331
95,8:14:31,53.13018845
96,8:19:49,53.68945359
97,8:25:12,54.24871873
98,8:30:31,54.80798387
99,8:35:52,55.36724902
100,8:41:11,55.92651416
101,8:46:33,56.4857793
102,8:52:05,57.04504444
103,8:57:32,57.60430958
104,9:02:44,58.16357472
105,9:07:55,58.72283987
106,9:13:15,59.28210501
107,9:18:22,59.84137015
108,9:23:21,60.40063529
109,9:28:23,60.95990043
110,9:33:31,61.51916557
111,9:42:24,62.07843071
112,9:47:23,62.63769586
113,9:52:28,63.196961
114,9:57:27,63.75622614
115,10:02:30,64.31549128
116,10:07:45,64.87475642
117,10:13:04,65.43402156
118,10:18:09,65.99328671
119,10:23:18,66.55255185
120,10:28:47,67.11181699
121,10:34:12,67.67108213
122,10:39:32,68.23034727
123,10:44:54,68.78961241
124,10:50:11,69.34887756
125,10:55:34,69.9081427
126,11:00:42,70.46740784
127,11:05:51,71.02667298
128,11:11:01,71.58593812
129,11:16:14,72.14520326
130,11:21:27,72.7044684
131,11:26:40,73.26373355
132,11:31:55,73.82299869
133,11:37:10,74.38226383
134,11:42:23,74.94152897
135,11:47:32,75.50079411
136,11:52:47,76.06005925
137,11:58:04,76.6193244
138,12:03:23,77.17858954
139,12:13:59,77.73785468
140,12:19:41,78.29711982
141,12:25:18,78.85638496
142,12:30:48,79.4156501
143,12:36:16,79.97491524
144,12:41:50,80.53418039
145,12:47:19,81.09344553
146,12:52:50,81.65271067
147,12:58:16,82.21197581
148,13:03:45,82.77124095
149,13:09:17,83.33050609
150,13:14:56,83.88977124
151,13:20:21,84.44903638
152,13:25:50,85.00830152
153,13:31:37,85.56756666
154,13:37:00,86.1268318
155,13:42:20,86.68609694
156,13:47:41,87.24536209
157,13:53:05,87.80462723
158,13:58:26,88.36389237
159,14:08:46,88.92315751
160,14:13:59,89.48242265
161,14:19:10,90.04168779
162,14:24:18,90.60095293
163,14:29:25,91.16021808
164,14:34:38,91.71948322
165,14:40:01,92.27874836
166,14:45:34,92.8380135
167,14:51:03,93.39727864
168,14:56:37,93.95654378
169,15:05:02,94.51580893
170,15:10:41,95.07507407
171,15:16:21,95.63433921
172,15:21:58,96.19360435
173,15:27:32,96.75286949
174,15:33:15,97.31213463
175,15:39:03,97.87139978
176,15:44:42,98.43066492
177,15:50:24,98.98993006
178,15:55:56,99.5491952
179,16:01:27,100.1084603
180,17:33:57,100.6677255
181,17:39:30,101.2269906
182,17:45:15,101.7862558
183,17:50:30,102.3455209
184,17:55:30,102.904786
185,18:00:32,103.4640512
186,18:05:42,104.0233163
187,18:10:53,104.5825815
188,18:17:12,105.1418466
189,18:22:41,105.7011118
190,18:27:56,106.2603769
191,18:33:13,106.819642
192,18:38:36,107.3789072
193,18:44:02,107.9381723
194,18:49:29,108.4974375
195,18:55:03,109.0567026
196,19:03:59,109.6159677
197,19:09:24,110.1752329
198,19:14:44,110.734498
199,19:20:12,111.2937632
200,19:25:36,111.8530283
201,19:31:12,112.4122935
202,19:36:34,112.9715586
203,19:41:55,113.5308237
204,19:47:15,114.0900889
205,19:52:26,114.649354
206,19:58:02,115.2086192
207,20:03:37,115.7678843
208,20:09:07,116.3271494
209,20:14:45,116.8864146
210,20:23:47,117.4456797
211,20:29:31,118.0049449
212,20:34:49,118.56421
213,20:40:07,119.1234752
214,20:45:28,119.6827403
215,20:50:43,120.2420054
216,20:56:10,120.8012706
217,21:06:33,121.3605357
218,21:11:50,121.9198009
219,21:17:11,122.479066
220,21:22:37,123.0383311
221,21:28:01,123.5975963
222,21:33:35,124.1568614
223,21:39:03,124.7161266
224,21:49:22,125.2753917
225,21:54:48,125.8346569
226,22:00:16,126.393922
227,22:05:58,126.9531871
228,22:11:26,127.5124523
229,22:16:59,128.0717174
230,22:22:38,128.6309826
231,22:28:20,129.1902477
232,22:38:23,129.7495128
233,22:43:59,130.308778
234,22:49:41,130.8680431
235,22:55:23,131.4273083
236,23:00:52,131.9865734
237,23:07:42,132.5458386
238,23:13:34,133.1051037
239,23:19:27,133.6643688
240,23:25:02,134.223634
241,23:30:33,134.7828991
242,23:36:01,135.3421643
243,23:41:51,135.9014294
244,23:49:07,136.4606945
245,23:58:17,137.0199597
246,25:34:03,137.5792248
247,25:39:48,138.13849
248,25:45:32,138.6977551
249,25:51:12,139.2570203
250,25:56:54,139.8162854
251,26:02:43,140.3755505
252,26:08:27,140.9348157
253,26:14:18,141.4940808
254,26:20:06,142.053346
255,26:25:57,142.6126111
256,26:32:01,143.1718762
257,26:38:22,143.7311414
258,26:44:42,144.2904065
259,26:50:50,144.8496717
260,26:56:57,145.4089368
261,27:02:52,145.968202
262,27:21:51,146.5274671
263,27:27:17,147.0867322
264,27:32:48,147.6459974
265,27:38:33,148.2052625
266,27:44:14,148.7645277
267,27:50:08,149.3237928
268,27:56:32,149.8830579
269,28:02:29,150.4423231
270,28:08:13,151.0015882
271,28:14:06,151.5608534
272,28:20:02,152.1201185
273,28:25:50,152.6793836
274,28:31:38,153.2386488
275,28:37:44,153.7979139
276,28:43:30,154.3571791
277,28:49:25,154.9164442
278,28:55:24,155.4757094
279,29:07:13,156.0349745
280,29:12:58,156.5942396
281,29:18:36,157.1535048
282,29:24:21,157.7127699
283,29:30:05,158.2720351
284,29:35:53,158.8313002
285,29:41:49,159.3905653
286,29:47:45,159.9498305
287,29:53:37,160.5090956
288,29:59:38,161.0683608
289,31:14:01,161.6276259
290,31:19:22,162.1868911
291,31:24:54,162.7461562
292,31:30:34,163.3054213
293,31:36:18,163.8646865
294,31:42:08,164.4239516
295,31:48:11,164.9832168
296,31:54:17,165.5424819
297,32:00:37,166.101747
298,32:07:04,166.6610122
299,32:13:29,167.2202773
300,32:19:59,167.7795425
301,32:26:36,168.3388076
302,32:33:14,168.8980728
303,32:40:19,169.4573379
304,32:51:23,170.016603
305,32:57:51,170.5758682
306,33:04:22,171.1351333
307,33:10:51,171.6943985
308,33:18:03,172.2536636
309,33:24:51,172.8129287
310,33:31:54,173.3721939
311,33:38:42,173.931459
312,34:01:39,174.4907242
313,34:07:52,175.0499893
314,34:14:17,175.6092545
315,34:21:09,176.1685196
316,34:27:58,176.7277847
317,34:34:56,177.2870499
318,34:46:43,177.846315
319,34:52:32,178.4055802
320,34:58:25,178.9648453
321,35:04:21,179.5241104
322,35:10:18,180.0833756
323,35:16:49,180.6426407
324,35:23:39,181.2019059
325,35:30:01,181.761171
326,35:36:06,182.3204362
327,35:42:22,182.8797013
328,35:48:47,183.4389664
329,35:55:06,183.9982316
330,36:01:29,184.5574967
331,36:07:37,185.1167619
332,36:13:50,185.676027
333,36:19:57,186.2352921
334,38:17:57,186.7945573
335,38:24:10,187.3538224
336,38:30:16,187.9130876
337,38:36:32,188.4723527
338,38:42:50,189.0316179
339,38:49:09,189.590883
340,38:55:29,190.1501481
341,39:01:41,190.7094133
342,39:07:52,191.2686784
343,39:14:15,191.8279436
344,39:23:59,192.3872087
345,39:30:07,192.9464738
346,39:36:16,193.505739
347,39:42:35,194.0650041
348,39:49:29,194.6242693
349,39:55:52,195.1835344
350,40:02:15,195.7427996
351,40:08:40,196.3020647
352,40:15:12,196.8613298
353,40:24:34,197.420595
354,40:30:58,197.9798601
355,40:37:28,198.5391253
356,40:43:49,199.0983904
357,40:50:18,199.6576555
358,40:56:29,200.2169207
359,41:10:00,200.7761858
360,41:17:57,201.335451
361,41:23:56,201.8947161
362,41:29:46,202.4539812
363,41:35:40,203.0132464
364,41:41:41,203.5725115
365,41:47:42,204.1317767
366,41:53:46,204.6910418
367,41:59:49,205.250307
368,42:06:10,205.8095721
369,42:14:33,206.3688372
370,42:20:57,206.9281024
371,42:27:21,207.4873675
372,42:39:03,208.0466327
