"Lap","Elapsed Time","Km","Lap Time","Lap Pace","Average Pace"
"1","04:13","0.674","04:13","06:16","06:16"
"2","08:13","1.348","03:59","05:55","06:06"
"3","12:13","2.022","03:59","05:55","06:02"
"4","16:12","2.697","03:58","05:53","06:00"
"5","20:10","3.371","03:58","05:52","05:58"
"6","24:09","4.045","03:59","05:54","05:58"
"7","28:08","4.720","03:59","05:54","05:57"
"8","32:09","5.394","04:01","05:57","05:57"
"9","36:06","6.068","03:56","05:50","05:56"
"10","40:02","6.742","03:56","05:50","05:56"
"11","43:58","7.417","03:55","05:48","05:55"
"12","47:52","8.091","03:54","05:47","05:55"
"13","51:43","8.765","03:50","05:42","05:54"
"14","55:39","9.440","03:56","05:50","05:53"
"15","59:37","10.114","03:57","05:51","05:53"
"16","1:03:32","10.788","03:55","05:49","05:53"
"17","1:07:28","11.462","03:55","05:48","05:53"
"18","1:11:24","12.137","03:56","05:50","05:53"
"19","1:15:21","12.811","03:57","05:51","05:52"
"20","1:19:21","13.485","03:59","05:55","05:53"
"21","1:23:20","14.160","03:59","05:54","05:53"
"22","1:27:19","14.834","03:59","05:54","05:53"
"23","1:31:20","15.508","04:00","05:56","05:53"
"24","1:35:19","16.183","03:59","05:55","05:53"
"25","1:39:13","16.857","03:53","05:46","05:53"
"26","1:43:15","17.531","04:02","05:59","05:53"
"27","1:47:13","18.205","03:57","05:52","05:53"
"28","1:51:10","18.880","03:56","05:51","05:53"
"29","1:55:04","19.554","03:54","05:47","05:53"
"30","1:59:05","20.228","04:00","05:56","05:53"
"31","2:03:06","20.903","04:01","05:57","05:53"
"32","2:07:05","21.577","03:58","05:53","05:53"
"33","2:11:07","22.251","04:01","05:58","05:53"
"34","2:15:05","22.925","03:58","05:52","05:53"
"35","2:19:03","23.600","03:57","05:52","05:53"
"36","2:23:01","24.274","03:58","05:53","05:53"
"37","2:27:02","24.948","04:00","05:57","05:53"
"38","2:31:00","25.623","03:58","05:53","05:53"
"39","2:35:02","26.297","04:02","05:59","05:53"
"40","2:39:02","26.971","03:59","05:55","05:53"
"41","2:43:03","27.645","04:01","05:57","05:53"
"42","2:47:00","28.320","03:56","05:51","05:53"
"43","2:50:55","28.994","03:55","05:48","05:53"
"44","2:54:53","29.668","03:57","05:52","05:53"
"45","2:58:50","30.343","03:57","05:52","05:53"
"46","3:04:38","31.017","05:48","08:36","05:57"
"47","3:14:44","31.691","10:05","14:57","06:08"
"48","3:18:45","32.365","04:00","05:57","06:08"
"49","3:22:44","33.040","03:59","05:55","06:08"
"50","3:26:45","33.714","04:00","05:57","06:07"
"51","3:30:48","34.388","04:02","06:00","06:07"
"52","3:34:47","35.063","03:59","05:54","06:07"
"53","3:38:51","35.737","04:03","06:01","06:07"
"54","3:42:58","36.411","04:07","06:06","06:07"
"55","3:47:01","37.085","04:02","05:59","06:07"
"56","3:51:05","37.760","04:04","06:02","06:07"
"57","3:55:09","38.434","04:04","06:01","06:07"
"58","3:59:18","39.108","04:08","06:08","06:07"
"59","4:03:24","39.783","04:06","06:04","06:07"
"60","4:07:31","40.457","04:07","06:07","06:07"
"61","4:16:22","41.131","08:50","13:07","06:13"
"62","4:20:55","41.806","04:32","06:44","06:14"
"63","4:25:01","42.480","04:05","06:03","06:14"
"64","4:29:09","43.154","04:08","06:08","06:14"
"65","4:33:20","43.828","04:10","06:11","06:14"
"66","4:37:26","44.503","04:05","06:04","06:14"
"67","4:42:16","45.177","04:50","07:10","06:14"
"68","4:46:48","45.851","04:31","06:43","06:15"
"69","4:50:58","46.526","04:10","06:10","06:15"
"70","4:55:11","47.200","04:12","06:14","06:15"
"71","4:59:22","47.874","04:11","06:13","06:15"
"72","5:03:33","48.548","04:10","06:11","06:15"
"73","5:07:46","49.223","04:13","06:15","06:15"
"74","5:12:03","49.897","04:16","06:20","06:15"
"75","5:16:21","50.571","04:17","06:22","06:15"
"76","5:23:34","51.246","07:13","10:42","06:18"
"77","5:28:08","51.920","04:34","06:46","06:19"
"78","5:40:19","52.594","12:10","18:02","06:28"
"79","5:46:27","53.268","06:08","09:05","06:30"
"80","5:50:39","53.943","04:12","06:13","06:30"
"81","5:54:55","54.617","04:16","06:19","06:29"
"82","5:59:16","55.291","04:21","06:27","06:29"
"83","6:18:51","55.966","19:34","29:02","06:46"
"84","6:23:04","56.640","04:13","06:15","06:45"
"85","6:27:14","57.314","04:09","06:10","06:45"
"86","6:31:25","57.988","04:10","06:12","06:44"
"87","6:35:37","58.663","04:12","06:14","06:44"
"88","6:39:47","59.337","04:09","06:10","06:44"
"89","6:43:58","60.011","04:11","06:12","06:43"
"90","6:48:32","60.686","04:33","06:46","06:43"
"91","6:52:48","61.360","04:16","06:19","06:43"
"92","6:57:19","62.034","04:30","06:41","06:43"
"93","7:03:26","62.709","06:07","09:04","06:45"
"94","7:07:49","63.383","04:22","06:29","06:44"
"95","7:12:09","64.057","04:20","06:26","06:44"
"96","7:16:27","64.731","04:17","06:21","06:44"
"97","7:20:49","65.406","04:21","06:28","06:44"
"98","7:25:08","66.080","04:19","06:24","06:44"
"99","7:29:29","66.754","04:21","06:27","06:44"
"100","7:33:51","67.429","04:22","06:28","06:43"
"101","7:38:16","68.103","04:24","06:32","06:43"
"102","7:42:44","68.777","04:27","06:37","06:43"
"103","7:47:13","69.451","04:29","06:39","06:43"
"104","7:51:37","70.126","04:23","06:31","06:43"
"105","7:56:01","70.800","04:24","06:31","06:43"
"106","8:00:22","71.474","04:20","06:26","06:43"
"107","8:13:32","72.149","13:09","19:31","06:50"
"108","8:18:06","72.823","04:33","06:46","06:50"
"109","8:22:53","73.497","04:47","07:06","06:50"
"110","8:27:10","74.171","04:16","06:20","06:50"
"111","8:31:31","74.846","04:20","06:26","06:50"
"112","8:35:57","75.520","04:26","06:35","06:49"
"113","8:40:21","76.194","04:23","06:30","06:49"
"114","8:44:47","76.869","04:26","06:35","06:49"
"115","8:49:17","77.543","04:29","06:40","06:49"
"116","8:53:42","78.217","04:24","06:32","06:49"
"117","8:59:49","78.891","06:06","09:04","06:50"
"118","9:07:38","79.566","07:49","11:36","06:52"
"119","9:12:07","80.240","04:28","06:38","06:52"
"120","9:16:39","80.914","04:31","06:43","06:52"
"121","9:21:04","81.589","04:25","06:33","06:52"
"122","9:25:27","82.263","04:22","06:29","06:52"
"123","9:29:45","82.937","04:17","06:22","06:52"
"124","9:34:05","83.612","04:19","06:25","06:51"
"125","9:38:24","84.286","04:19","06:24","06:51"
"126","9:42:47","84.960","04:23","06:30","06:51"
"127","9:49:05","85.634","06:17","09:20","06:52"
"128","9:53:39","86.309","04:33","06:45","06:52"
